student	Car	exciting	dependable	luxurious	outdoorsy	powerful	stylish	comfortable	rugged	fun	safe	performance	family	versatile	sports	status	practical	discipline
1001	5	3	5	5	1	3	4	5	1	3	5	3	5	3	1	4	3	1
1002	6	2	3	2	1	2	1	2	2	2	3	2	4	3	1	1	4	1
1003	7	3	5	4	1	4	4	4	1	3	5	3	3	4	2	4	3	1
1004	8	3	2	3	1	2	3	3	1	3	2	3	2	2	3	4	2	0
1005	9	5	4	4	2	3	5	3	3	5	4	5	1	2	5	5	2	0
1006	10	2	4	3	3	2	2	4	1	2	5	2	5	4	1	3	4	0
1007	1	3	2	3	1	3	4	2	2	2	3	2	2	2	4	1	2	0
1008	2	2	3	3	5	3	4	3	5	4	3	2	4	5	5	3	3	1
1009	3	2	5	4	1	3	3	4	1	2	4	2	4	2	2	3	4	0
1010	4	5	3	2	5	4	4	3	5	4	4	3	4	5	5	4	5	1
1011	5	5	3	5	1	4	4	4	2	5	4	4	1	1	3	4	1	0
1012	6	1	3	3	4	2	1	5	4	1	5	1	5	3	1	2	5	0
1013	7	2	5	4	1	4	4	4	1	1	5	5	5	5	3	4	5	1
1014	8	5	2	3	1	5	3	3	2	5	4	5	4	3	4	4	3	0
1015	9	5	5	5	1	4	5	2	1	5	1	5	1	1	5	5	1	1
1016	10	2	5	4	2	4	4	5	1	4	5	4	5	5	3	4	5	1
1017	1	4	5	4	3	4	4	4	3	4	4	4	3	4	4	4	4	0
1018	2	3	4	3	5	4	4	5	5	5	3	3	5	5	4	3	5	0
1019	3	3	5	5	1	4	3	5	1	3	5	4	3	3	3	4	3	1
1020	4	3	2	2	5	4	4	3	5	2	2	3	3	5	2	3	4	1
1021	5	5	4	4	2	4	4	4	1	4	4	4	4	4	2	4	3	0
1022	6	1	3	2	2	1	1	2	1	1	1	1	5	3	1	1	3	1
1023	7	3	5	4	1	5	3	4	1	3	4	5	3	2	1	5	2	1
1024	8	4	4	5	3	5	5	5	2	4	4	4	4	3	4	3	4	0
1025	9	5	3	5	3	5	5	5	3	5	2	5	2	2	5	5	1	0
1026	10	2	4	2	3	2	2	3	2	2	5	4	5	4	2	2	4	1
1027	1	5	4	5	3	5	5	3	1	5	3	5	1	2	5	5	2	1
1028	2	4	4	4	5	5	4	2	4	4	4	4	5	4	5	4	3	1
1029	3	3	4	3	1	2	2	4	1	2	4	1	5	3	1	2	3	1
1030	4	3	1	2	5	3	2	2	5	2	1	2	3	5	3	3	2	0
1031	5	3	4	3	1	3	3	4	2	4	3	4	2	2	4	3	2	0
1032	6	2	3	2	2	3	3	3	3	2	3	2	4	4	2	3	3	0
1033	7	4	4	4	2	4	4	4	2	3	4	4	4	4	4	4	4	0
1034	8	5	3	4	1	3	5	3	1	5	3	4	2	2	1	5	3	1
1035	9	5	2	2	2	4	5	2	2	5	1	5	1	1	5	5	2	0
1036	10	2	4	3	3	3	2	4	3	2	5	2	5	4	2	2	4	0
1037	1	3	1	3	1	4	3	3	1	3	3	3	1	1	2	4	2	0
1038	2	2	3	4	5	5	3	4	5	3	5	1	4	4	3	3	3	1
1039	3	3	4	4	2	4	4	4	4	4	4	4	3	3	3	5	3	1
1040	4	4	3	3	5	5	4	4	5	4	3	4	5	4	4	4	4	1
1041	5	2	5	5	1	4	4	5	1	3	5	4	4	3	1	4	4	0
1042	6	2	3	2	2	2	2	3	2	3	3	3	5	5	2	2	2	1
1043	7	4	4	5	2	4	5	4	3	4	4	4	3	3	4	5	4	1
1044	8	4	1	3	2	3	3	3	2	3	3	3	2	2	2	3	2	1
1045	9	5	4	5	1	5	5	3	2	5	2	5	1	1	5	5	2	0
1046	10	2	4	4	1	4	3	4	2	3	5	4	4	4	3	3	4	1
1047	1	4	3	4	2	4	4	3	1	5	3	4	2	2	4	5	2	1
1048	2	5	5	5	5	5	5	5	5	5	5	2	5	5	3	3	5	1
1049	3	4	3	4	2	5	5	4	2	4	3	5	3	2	4	4	2	0
1050	4	3	3	3	5	4	3	3	4	3	3	3	4	4	3	3	3	1
1051	5	3	4	4	1	3	4	4	1	4	4	4	4	4	2	5	4	1
1052	6	2	3	2	4	4	2	4	4	1	3	3	5	4	2	2	4	0
1053	7	4	4	5	1	3	5	4	2	4	4	2	4	3	3	5	4	1
1054	8	4	3	4	2	4	5	3	2	5	4	5	4	4	4	4	4	0
1055	9	5	4	4	5	5	5	3	1	5	4	5	1	2	5	5	1	0
1056	10	2	5	4	3	4	3	4	3	3	5	4	5	4	3	4	5	1
1057	1	3	4	5	1	2	5	4	1	4	3	3	3	2	3	5	3	0
1058	2	1	3	3	4	4	2	3	4	1	4	2	4	2	1	2	4	1
1059	3	4	4	4	2	4	4	4	1	4	4	4	3	2	2	4	3	1
1060	4	4	4	3	5	4	4	4	5	4	3	4	3	2	5	4	2	1
1061	5	2	5	5	1	4	3	4	1	4	4	3	5	3	2	4	5	1
1062	6	1	5	1	2	1	1	5	2	2	5	2	5	3	1	1	5	1
1063	7	3	5	4	2	3	3	4	4	4	4	4	3	3	3	3	3	0
1064	8	3	3	4	3	3	3	4	4	3	5	3	4	4	3	4	4	0
1065	9	5	3	3	2	4	4	3	2	5	1	4	1	1	5	4	2	0
1066	10	3	4	4	4	3	4	4	5	2	5	3	5	5	4	4	5	1
1067	1	2	4	4	1	2	5	3	2	5	3	3	1	1	5	4	3	0
1068	2	3	4	3	5	5	3	4	5	5	5	1	3	5	5	3	4	0
